,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
8,HMI.DE,0.65004,0.695543,3.2017700000000002,7.356269999999999,4.465157450586188,80.41865426969494,33.02679229130079,13.347510273970444,1.2825910515230905,0.5625618199802176,1
9,RAA.DE,0.526432,0.5598069999999999,0.10185,1.47177,48.837340782598254,122.89797000454477,71.87722609111691,17.2068836060984,1.2067896969332397,0.7988787666433076,1
10,PPX.DE,0.725787,0.742611,2.18057,13.810039999999999,1.358608313536722,36.65275420755278,18.789169107260808,7.393500758764785,1.0472833657376608,1.352265043948614,1
12,BLQA.DE,0.814967,0.805391,7.846839999999999,5.1529,3.643906763775497,90.53395697529535,18.98358422162162,2.5752249906507787,0.0955053323333884,1.9383259911894275,1
14,NVD.DE,0.588464,0.650649,0.99361,1.47428,58.52832787326243,177.16945121951218,85.73558571850103,20.882413396578983,0.5188641779189833,0.1034148443391145,1
16,MOH.DE,0.619312,0.661536,1.03498,7.75753,2.5398774043145997,40.7299964617189,19.654998745313772,6.060991068233224,0.9372461237131308,1.1153712094806556,1
20,ASME.DE,0.43499899999999997,0.38463600000000003,4.20294,1.92083,14.065632955028601,163.7224019433582,27.05622821446755,9.956498569565248,0.9471148445398604,0.7318188748284801,0
21,SRT.DE,0.520388,0.518925,0.51617,0.67555,216.16666518685508,255.02016315789467,146.03230950258742,26.792118317647056,0.5166128194473302,0.3153153153153153,1
22,CTO.DE,0.13199,0.134627,3.12597,1.8880000000000001,18.8863479951108,67.81394557564225,35.61841919040479,7.796155852111134,3.001673986608107,0.841645885286783,0
23,1YD.DE,0.572238,0.5566,1.6303299999999998,1.35012,40.523174209849,54.15014118596208,54.06290777285543,5.698442076665112,0.2925294458876643,3.0650738761395786,1
24,LOM.DE,0.136436,0.133602,5.7906,6.07573,2.2448463979688125,35.5510843373494,13.7265002325942,23.59962676619568,1.2684716650202608,2.2839016653449637,0
25,LAR.DE,0.45859399999999995,0.46612700000000007,4.7259,3.8793300000000004,5.15555226271138,97.54202225205636,20.101708668757187,8.75092031039572,0.6899308725358191,1.5469793193290995,0
28,LOR.DE,0.7314039999999999,0.729374,3.2473099999999997,2.5308599999999997,8.818351896117631,54.64754798872054,22.363516545012168,5.549637823542807,1.2321621739509727,1.3433356594556871,1
29,YSN.DE,0.25506100000000004,0.25959099999999996,1.7129599999999998,2.21873,18.271611652473613,243.8957750667891,40.53981885843651,21.151640348053924,1.8950005257640743,0.5397923875432526,0
30,ITU.DE,0.8226870000000001,0.858095,1.6856099999999998,4.10606,9.999911083448184,-590.3622047244095,41.06024096385542,14.683901292596946,0.7024974842191931,0.5598591549295775,1
32,M4I.DE,0.0,0.0,1.40873,1.6762400000000002,23.03562601754188,120.2751592356688,38.68979647589128,43.77867078825348,0.505026924393812,0.4270462633451958,0
33,UNH.DE,0.0,0.0,6.913539999999999,3.51559,4.382049449657413,83.7942857142857,15.437595040355596,4.148623161071293,1.2791051677290979,1.2402254955446446,0
35,NTH.DE,0.205538,0.199768,6.0071699999999995,5.15439,3.5366713869487403,38.61560140474099,18.34925740508969,4.528744851729819,0.7981598619896493,2.107265119817421,0
37,KSB.DE,0.602247,0.579529,-18.4574,17.020210000000002,0.9874044614096488,5.710883725822781,16.805828819068257,0.7953928619173456,2.1412754851120543,3.427419354838709,0
38,FDX.DE,0.713162,0.707973,4.73384,-1.27969,-28.3911957440103,42.67432074221338,36.05573908174692,3.308783783783784,0.9206933855347208,0.7964059628343885,1
39,HDI.DE,0.34007800000000005,0.340587,4.02228,2.08449,10.593810677806227,120.52261190586063,22.082734421239532,-630.8514492753623,1.88350250201266,2.416494845360825,0
40,NWO.DE,1.106909,1.0953469999999998,2.15,1.28,29.907403346674425,73.49744342775737,38.36632554414667,12.626384532841357,0.8954744610265883,1.0836820083682008,1
45,MUV2.DE,0.0,0.0,5.70214,1.56293,4.7953092332439695,-322.1630116373626,7.54421874909933,0.988263410045508,0.3266702450757241,4.695735505510303,0
46,RWL.DE,0.397561,0.41563100000000003,2.7302400000000002,1.1337899999999999,27.668388718257113,50.86067368421053,31.42406347554631,31.35473069435432,0.8854628555836005,1.4743435316791134,0
47,DCO.DE,0.303754,0.26313000000000003,2.56808,2.10626,11.196343813426688,21.31230053191489,23.61230202578269,4.9741930477963985,0.4624275212259267,1.1231527093596059,0
48,LIN.DE,0.432492,0.429737,0.8657,1.07112,42.54074254483741,56.1323746388443,46.07439973649539,2.3038717570327427,0.3167629519194931,1.8981341401916287,1
49,AMG.DE,0.760232,0.754423,3.04561,3.07239,5.079891906378619,33.84760438258809,15.660139745170572,10.723647621728118,0.3737982802910277,3.237000207168013,1
50,MDO.DE,0.45867299999999994,0.496755,0.64627,1.4744899999999999,20.432476825190445,63.03207416801503,30.212007210530725,-15.231313628726316,0.3855811802022071,2.596862989508674,1
51,DAP.DE,0.5384909999999999,0.562455,1.29114,0.8406600000000001,48.41672768294509,143.9821416735708,40.11806550281345,3.8340495895117988,0.24576249782512305,0.4545924165719599,1
53,SYK.DE,0.572721,0.652453,-0.22104000000000001,1.29839,32.93429194228253,110.05910969793324,43.23996252342287,5.427879880821704,0.4469078550328749,1.2475591234541112,1
54,NFS.DE,0.461391,0.505524,1.5270700000000001,1.47275,15.100334683236161,44.953205741626796,22.41226145038168,3.161032232016688,0.2697697697697698,1.540983606557377,1
56,MSF.DE,0.675571,0.686617,1.46374,1.40091,22.356678148021608,100.65539296569693,31.40977439533886,11.756628854476604,0.4746424790332912,1.1224826675470452,1
57,GOS.DE,0.80273,0.637767,1.04864,3.3591800000000003,3.396324483246858,7.708006679861455,11.582068029739776,0.6921272701018562,0.04793595924041828,2.854207101267268,1
58,UNP.DE,0.837889,0.817365,1.66667,2.1480599999999996,9.72086138707157,49.652852791878175,21.09621567217829,7.134654996353027,0.3178506805129415,1.6838328897118393,1
59,KLA.DE,0.574166,0.585544,2.6318200000000003,0.49915,44.75868332864791,55.0992448488146,22.471286841964684,10.25830215380367,0.6256949383402515,1.4858841010401191,1
60,PFV.DE,0.332353,0.347438,0.47386999999999996,0.89738,49.76603741385258,138.1519874909791,44.65884123486871,4.3997830259508754,0.948948505691156,0.7159221076746851,0
