,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
0,CSL.AX,0.562426,0.578667,1.86792,2.75041,12.38989895479664,253.96206534529148,33.80097915368547,20.82306850703189,1.1438640507998914,0.9897852719439958,1
1,COH.AX,0.742255,0.747784,-6.44118,2.72817,138.70711116322678,83.25754184887265,355.7959014947916,9.748528446236175,1.0666226656831153,0.7199748008819692,1
2,MQG.AX,1.0,1.0,3.74674,4.048019999999999,1.8908753693840823,18.339222177813,8.10225744386487,2.197607025437972,0.11415078850048085,3.1587453169764195,1
3,REA.AX,0.924024,0.935522,-0.26733,1.121,66.94539133904,92.30032639989128,74.98971589087729,18.8637818063989,1.1463197954383555,0.8891762994099104,1
6,RIO.AX,0.0,0.0,2.036,2.37046,3.165227252944224,23.54217437539815,7.540495319520017,3.9571067626198246,0.9835086183440004,8.48763303850997,0
7,DMP.AX,0.547995,0.558354,0.8022199999999999,0.8059999999999999,38.9476756835704,95.7983549814875,31.224325163623494,20.192825130347025,1.3518935860677712,1.2967391304347826,1
8,ASX.AX,0.0,0.0,1.28257,1.2930000000000001,12.378497121936444,58.76475950666666,16.01704529254997,4.264725585098376,0.12603073248041896,2.9137699719477985,0
9,CBA.AX,1.0,1.0,1.82597,3.26324,2.2471131627253165,11.749631140273097,7.278898104916233,1.8402446950338849,0.0477466816559178,4.277307305870533,1
11,RHC.AX,0.75129,0.748552,0.1187,1.2790700000000002,13.99200889251765,27.47312178650788,16.753883528457227,3.703369495536309,1.3141849081052346,1.386424134937888,1
12,MFG.AX,0.970515,0.9745229999999999,1.1002,1.0824799999999999,13.145268334182855,74.46264045097183,14.112017781548733,10.43176223579657,1.1659146540578873,4.7439859672569336,1
