,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
0,4338.HK,0.675571,0.686617,1.46374,1.40091,203.958250079343,918.271385149805,286.548948759062,107.254818095753,0.474642479033291,0.123039806996381,0
1,4336.HK,0.444824,0.44200200000000006,0.91215,0.81798,160.444550870323,506.7651331719129,131.38355304457,43.744173894868794,0.768409616928818,0.18942731277533,0
2,4335.HK,0.532593,0.606012,1.19164,1.31285,51.244147913604,149.586033050135,67.7154811715481,19.5368369711011,0.517605333717934,0.348930481283422,0
8,4333.HK,0.63222,0.648502,0.6214,0.65378,86.76919711931819,177.390577083914,56.741573033707894,16.7800632911392,0.519762158287034,0.713333333333333,0
10,2313.HK,0.30864400000000003,0.298827,1.67134,1.7822900000000002,12.1743089081655,88.39268849578501,21.698155087544,8.18752674536187,1.26297368096123,0.694927032661571,1
11,2382.HK,0.194885,0.21939099999999997,1.59615,2.3323400000000003,8.64669112217982,47.9910891005719,20.201768443146,10.555118509016,2.27349805917088,0.623076923076923,1
12,2378.HK,0.0,0.0,0.19723,0.30267,128.1429771775,192.447851618727,38.650212299685,14.766363160648902,0.215549534183282,0.191720331186753,0
13,1579.HK,0.396623,0.387288,0.40667,0.46215,160.09980515580298,293.306195854324,73.1608674613755,37.875973190383,2.36294102299392,0.208715341959335,0
15,2688.HK,0.177599,0.162663,2.3931400000000003,2.05119,5.29744662028192,15.993902231793301,10.8650990264922,3.82432931693068,1.58786207541217,1.84022038567493,1
16,2020.HK,0.5684779999999999,0.5417569999999999,0.60077,1.06067,25.8321237606264,82.77454632314941,26.7837216548034,11.52553607366,1.25478766279657,0.404949381327334,0
17,1299.HK,0.0,0.0,0.18195999999999998,0.23051999999999997,416.02102156935297,772.775782537068,95.92533742331291,16.5155587634674,-0.00032623178253046,1.2007722007722,0
