,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
5,PRMB.ME,1.0,1.0,3030.488,280.728,0.01862898448098135,-2.903881964286368,5.2296775553769335,1.666536755533755,0.23189315530076776,3.1496062992125986,0
6,GMKN.ME,0.61853,0.625124,-26.793809999999997,1181.9421300000001,0.005767563372731941,14.265489805308135,6.816926148826898,21.453622048876017,1.207318038556624,5.824505968502357,0
8,PLZL.ME,0.711637,0.672367,367.59561,-217.74387000000002,-0.12608865697314675,58.020503869789934,27.242905973825284,13.942286498109288,0.5519659243546293,2.8871755179804715,0
13,TRCN.ME,0.341988,0.340373,290.03697999999997,137.74957,0.07456579024212992,24.502592141977843,10.271405702244776,2.159556501690747,1.0032022059641086,0.6197789412449101,0
17,AKRN.ME,0.493457,0.374123,239.08792999999997,-271.41992999999997,-0.13693222561269494,49.92887325174826,37.473269476791856,5.8637338055641095,0.5092126610319835,8.737704918032787,0
19,MGNT.ME,0.227812,0.215342,140.9808,57.113,0.2519656463231826,9.226399016471252,14.371067421614113,2.5384812238788967,2.9626073744556334,6.249409347714432,0
22,LKOH.ME,0.599595,0.416756,-28.6897,-68.49928,-0.15936063138582804,8.650838683194882,11.224867192888658,0.6954685622428296,1.0857456393900793,12.858837485172007,0
24,FIVE.ME,0.251931,0.24589299999999997,276.5408,-11.85724,-0.4433506055657794,4.669623949968758,5.257372199207961,1.917393979057592,2.8441559388989153,0.05354247266610597,0
25,PHOR.ME,0.47011899999999995,0.42377200000000004,161.16602,-120.36293,-0.1375498718827245,25.234358542237207,16.5559062010504,3.162372290715172,0.7813324367661512,5.189189189189189,0
31,GCHE.ME,0.238341,0.25590100000000005,201.84174,73.20874,0.0748414996524296,14.262815000938616,5.479052102834066,1.1477041617824773,1.199752464019803,3.29119394921664,0
32,POLY.ME,0.5735680000000001,0.487692,0.7988,0.68187,1187.036030099762,2021.3152532500005,816.3003907355769,512.3430334127942,0.9904458598726116,0.07831383785605933,1
33,TCSG.ME,1.0,1.0,73.21795999999999,9.12839,0.9514524496741692,-47.156781504346625,8.633417430325384,3.1657143504705787,0.2371965278618317,0.03185451175721071,0
34,BANE.ME,0.410075,0.379379,-60.707359999999994,23.23346,0.4265114995933282,6.0316537001638455,9.909338649618665,0.5565611034001978,0.9036134599311794,6.906470211402946,0
36,QIWI.ME,0.622405,0.590009,47.9408,25.44,0.2106198028129966,964.7575234375,8.824001738757621,1.5815156970390356,0.602496629115741,0.0523517382413088,0
37,BELU.ME,0.343188,0.34015300000000004,35.92281,77.69218000000001,0.08776599692012821,4.03945847826087,6.641901089361702,0.8422440945391755,1.7456981214430811,2.5682182985553768,0
38,NVTK.ME,0.376444,0.384863,13.8399,-10.19811,-0.7203777352939384,57.678083867639465,7.359213145584054,1.9617036203844411,0.3759683787224145,1.7363775901765155,0
40,CHMF.ME,0.399371,0.381542,0.46,0.08481,7649.3945868945875,1315.7427258805512,647.9487179487179,296.47342995169083,1.0114751831881654,9.548872180451127,1
43,INGR.ME,0.235909,0.23804699999999998,5.84238,-36.28688,0.17537100403433087,-9.889460058408993,-6.358477961088696,3.9006662921448862,0.5028491062983075,7.644957983193277,0
44,LSRG.ME,0.292946,0.298167,25.67845,55.93769,0.07185221671573468,4.958966091746136,4.019247304104478,1.0839458431367852,0.9503612377789036,5.537098560354374,0
46,AVAN.ME,1.0,1.0,23.90887,1.42845,6.912933138439755,25.473397130175176,9.874786622884528,2.383796563788269,0.1616142896435038,5.107878787878788,0
47,AGRO.ME,0.227608,0.21495799999999998,178.77002,119.87998999999999,0.011643817369733215,2.08764582896799,1.3956345198418063,0.1809910015999273,0.5876281178327287,0.06794564348521183,0
48,MVID.ME,0.239919,0.22488400000000003,14.1154,31.30097,0.2820548669129561,3.6998664637744167,8.82710231903386,3.439458413926498,2.1291249935446106,4.980597014925372,0
50,PIKK.ME,0.25176,0.29993400000000003,27.55651,56.73301,0.07967546033096705,13.18496199834091,4.520228422906286,3.1290767611427848,1.0624488269931769,3.774933510638298,0
54,TATN.ME,0.8605440000000001,0.8783129999999999,7.81875,11.21813,0.6966694657484752,8.82345053774493,7.8153253438829395,1.1956712220532542,0.6872225011567579,5.806912991656734,0
56,ROSN.ME,0.391723,0.403966,4.354430000000001,-14.71976,-0.8872949496972934,12.367953431372547,14.017013888888886,0.9622663996948894,0.574863560863719,4.714938030006524,0
57,KROT.ME,0.091303,0.060400999999999996,38.73012,-1.23829,-2.6438163749072783,5.214550597436043,3.2738007267842177,0.40572247277259815,2.4678773335104776,0.055788005578800565,0
