,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
0,MRF.NS,0.402544,0.42795200000000005,31.73002,1601.02802,0.0139126168628557,31.62101777970448,22.269816178575116,2.1199399297895734,0.7318686948175991,0.16382042332835592,2
1,HONAUT.NS,0.509759,0.540028,110.93002,125.70648999999999,0.35539454232019696,138.45185998186406,44.6734807726949,12.0912187877195,1.1645013130950863,0.2517762816671619,2
2,SHREECEM.NS,0.7482800000000001,0.7366729999999999,91.34999,148.56126,0.3457433449077045,139.8425964435607,51.3550565342783,5.793896614925628,0.6039735962675772,0.1891476533869252,1
3,PAGEIND.NS,0.481037,0.588364,-35.46141,27.815859999999997,4.202107893892793,93.22357508050064,116.88399378657036,27.51474638330778,1.5831863238553254,0.5438813349814586,2
5,NESTLEIND.NS,0.563383,0.5629529999999999,50.47,54.5,1.3634500625323749,148.5576434980296,74.30453265996982,67.82519332424225,1.5707492738543172,1.484637433448632,2
6,ABBOTINDIA.NS,0.4268,0.42197299999999993,84.87059,52.22,0.9848605242427424,85.35868039751176,51.43057523539628,13.881581780011105,1.1724548941840935,0.9002118330642142,2
8,TASTYBITE.NS,0.398956,0.333881,5.52,33.25059,2.3130111166164906,148.9912840672269,76.88622204683435,16.302114900268485,1.2970910522662966,0.019304646628443462,0
9,PGHH.NS,0.632484,0.666291,21.32,28.07,2.711858304301509,90.90586749558693,76.10333268495428,28.465299189193853,1.6418672063005906,0.4727713264190527,2
10,DIXON.NS,0.11982000000000001,0.157708,1.38289,23.51,4.613350110036811,85.97303245516585,109.97078308972796,20.014171604328208,2.221364347848733,0.04271610343704448,0
12,SANOFI.NS,0.554539,0.566348,59.18,37.080009999999994,1.162754730788217,147.89759544880678,43.11467156373429,7.208155798146549,0.8896923783287419,2.9131101946868703,2
13,MARUTI.NS,0.285652,0.343514,-8.88,43.721959999999996,1.1625418344157097,50.93146227246014,51.14110873985816,4.17383812612268,0.9435827477655172,0.8743997609973986,0
14,BAJAJFINSV.NS,0.0,0.0,76.4,11.97078,2.054559351231517,-6.805235536067568,25.115708111322995,3.0000758974721453,0.10934382945880566,0.08468619530330361,0
15,ATUL.NS,0.376771,0.345314,39.709990000000005,47.611940000000004,0.5778716011661608,112.86380513972956,27.51997760782528,5.555722507274399,0.8946121894335113,0.465348461388769,0
17,BAYERCROP.NS,0.473367,0.58317,56.01,6.989380000000001,5.851473544526079,1230.2856483248731,41.01646179048909,9.421429454616133,1.0133222097661445,2.1322752303784323,2
18,GILLETTE.NS,0.570773,0.5569270000000001,13.8,16.07,4.665882293648287,145.05728871187299,74.9989917872969,18.94397762444035,1.2420736488585755,0.9438236182422228,2
20,DRREDDY.NS,0.701886,0.655848,35.78,47.03099,0.6808847106415251,146.98215374211358,32.00336446815615,5.376568513299099,0.9448101854443216,0.4953683063357606,1
21,PFIZER.NS,0.655091,0.6192310000000001,27.2,22.52,1.9553527535043724,189.79879491348618,44.022882342684866,6.7518374189292265,0.4817133517955237,6.585906160815855,2
22,WABCOINDIA.NS,0.5325770000000001,0.436454,-16.54,16.61,7.895764256712651,279547.02687976544,131.14595560392152,5.031572772179108,0.6684842765813184,0.19892382212231824,2
23,INDIAMART.NS,0.9980540000000001,0.0,25.20441,15.32448,5.104734284801157,345.60974162608966,76.92905717503253,41.57242697854881,0.5714585839388494,0.2021039016158207,2
24,ULTRACEMCO.NS,0.6648970000000001,0.667571,27.64,112.4037,0.22287578114613565,114.19599422736214,25.05096680476514,3.414305928213076,0.483426108305153,0.2808321271953511,1
25,SRF.NS,0.44032,0.41379499999999997,30.81,32.31388,0.7839972070990482,421.2766251296235,25.336172656163107,5.171469196778234,0.6427713767702882,0.2703524720354162,2
26,ASTRAZEN.NS,0.625175,0.590985,7.45,3.8310800000000005,40.461400752757015,166.50466770268176,154.93017556044046,29.473208521292943,1.162050937199162,0.046573906968620835,2
27,TIDEWATER.NS,0.46327399999999996,0.4663,51.220040000000004,68.25778000000001,0.1898444119047588,32.289566323822164,12.957671698029465,2.144857250848504,1.2211797078660984,2.56126666278596,2
28,LAXMIMACH.NS,0.420688,0.40273600000000004,-20.24001,1.75974,-549.252224859349,123.5681134606276,-966.950257760378,2.513997523844284,0.5474969627560559,0.2558755421363049,2
29,GMMPFAUDLR.NS,0.519976,0.5800069999999999,13.13,7.932980000000001,9.100904173066244,-321.99254303867406,72.21492036924856,15.29555423195024,1.0952063780030286,0.1950784494050107,2
30,BRITANNIA.NS,0.41651800000000005,0.396733,22.69,15.575460000000001,3.0893431898386607,132.8099555177178,48.13803372090968,18.557310782950967,1.5709676966883144,3.4733976010008085,0
31,SCHAEFFLER.NS,0.373291,0.397721,-13.6,25.1,2.088871866951127,718.1529989987246,52.40919214511774,3.9001801130849514,0.9221334992197262,0.970618006350615,0
32,NAUKRI.NS,0.9779899999999999,0.979875,7.6,9.79355,102.11041778666944,427.4146254319332,986.7710542214937,19.605478943488574,0.440595579276496,0.17178441056474125,1
33,VSTIND.NS,0.484519,0.43368999999999996,49.029990000000005,45.72647,0.3786091238276815,47.38003911140106,17.313255914154215,6.6896650932051545,0.9706885777705562,3.020660732876813,2
