,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
1,ASML.AS,0.43499899999999997,0.38463600000000003,4.20294,1.92083,14.007732041812293,163.04844175850218,26.944851760466854,9.91551283067544,0.9471148445398604,0.7348438456827925,2
2,DSM.AS,0.0,0.0,0.59133,0.9743299999999999,39.75719114880288,56.15935483870968,38.872663476873996,3.3484214864679216,0.6052471841910029,1.7028731604765242,1
3,ASM.AS,0.48298,0.445446,1.4985700000000002,1.49853,14.430321536609075,71.87110608133045,21.620830298972944,3.5698346869031736,0.5768748830615564,1.8677624206200971,2
4,HAL.AS,0.6662640000000001,0.45023900000000006,1.07083,5.68242,1.896889635994805,7.4882961470256335,10.777239211136889,1.1901991185589464,0.4018698165368183,5.147432675044883,2
7,IMCD.AS,0.206081,0.194396,1.22127,0.83257,30.163486834020897,49.201910538358014,25.10382003570857,6.472965057422148,2.4279422533690167,1.723312589755864,1
9,AKZA.AS,0.44136899999999996,0.445092,0.6764600000000001,0.58763,58.470993596130235,55.154402597402594,34.953818930041145,2.9053456473405164,0.6575560266505148,2.1329142343960483,2
10,HEIA.AS,0.168776,0.240779,-0.51605,2.13444,7.427685447811316,19.18587854735495,15.87423202082598,3.3084454730375934,0.9805659882959209,1.3309444586639363,1
11,WKL.AS,0.705754,0.703904,1.39761,1.35006,10.533251950085637,33.283903448275865,14.406465671641788,8.14886618826509,1.0523590333716917,1.7466038258940948,3
12,HEIO.AS,0.35443,0.39901,-0.51731,2.13866,6.50705278248036,8.460271844923206,13.916405055789475,2.9585077136356848,0.9805659882959209,1.510530137981119,2
15,UNA.AS,0.0,0.0,1.25,0.99665,8.939740004932899,18.567748565181745,8.911837345051485,8.688457318242854,1.4539202591719005,3.174013921113689,1
16,RAND.AS,0.186838,0.19375699999999998,-0.31096999999999997,0.26674000000000003,114.66415261756876,16.4247311827957,30.65217391304348,2.074468085106383,2.3229509939406823,4.18,1
17,VPK.AS,0.0,0.0,1.55198,0.64,11.10799883217078,9.400148806633293,7.073905247468803,2.0333587537055835,0.33025539668324017,2.4343776460626585,1
19,NEDAP.AS,0.25158800000000003,0.25447800000000004,0.9525399999999999,2.69685,2.895400282968592,24.13555787111254,7.802529539800996,3.7467986461936635,3.0269520728072554,9.656652360515023,1
20,PHIA.AS,0.41661000000000004,0.443616,0.2275,0.04149,923.6216858497687,15.9121926328801,38.388560159045724,3.5261953542731916,0.6991230942764618,4.024621212121212,2
21,CRBN.AS,0.285656,0.277304,0.41985,-0.0068,-5005.713914269671,36.01901632653061,34.034497520661155,5.065404920049201,1.754804627015211,1.3333333333333337,2
22,URW.AS,0.562628,0.690839,-25.47511,-0.5159699999999999,5.262940242828174,5.097600869565217,-2.71509465657112,0.2347148865578007,0.1022084319076035,27.06766917293233,3
23,BESI.AS,0.619513,0.566549,0.48231,0.1675,181.73153828029518,83.78492346723047,30.48997055412734,11.29613023314018,0.5753916179932318,2.566056910569106,2
25,AALB.AS,0.6230289999999999,0.623506,0.77,0.85031,5.140462233920152,8.617039823310598,6.706530873341374,1.5837836411804922,1.5979084967320258,2.3845007451564832,3
26,NN.AS,0.0,0.0,1.8570099999999998,1.01231,3.8913423329489714,9.711971777986829,4.05014750882699,0.27992261598112844,0.0911506887966172,6.9197795468462955,1
27,FLOW.AS,0.881359,0.0,8.249189999999999,5.7129199999999996,0.3741444785882913,16.750088875509448,2.1572216612139847,2.2050031184936123,0.17700703297699075,14.308176100628929,2
28,CCEP.AS,0.345049,0.384393,0.27743,1.25639,8.335114064670977,37.453748129870135,10.681254096296298,2.4725125222908093,1.0306877196663695,2.1732283464566926,1
29,PSH.AS,0.800201,0.7889619999999999,7.453110000000001,1.9605700000000001,0.8381356703294451,-6.339427508631508,1.7349878231625422,0.8643648130113811,0.450999129869729,1.376936316695353,3
30,TWEKA.AS,0.494404,0.490022,0.63153,1.6903400000000002,3.7001035133133935,386.04430339574736,6.257848382582928,1.859409354937328,1.7932543463465942,5.1939058171745165,2
31,NSI.AS,0.778449,0.862116,-1.8168799999999998,5.74005,0.4741631087833295,10.410222914214103,2.6948115526020877,0.6387814022635495,0.1278363117300989,7.415269565217392,3
32,ASRNL.AS,0.0,0.0,1.51167,2.71349,1.023429087157511,-34.68472172,2.880790840531561,0.6874251173299508,-0.0007654845649276089,8.495575221238939,1
33,APAM.AS,0.070702,0.098884,0.6233,0.82532,7.845758028929421,21.228825360824747,6.455160062695925,0.9801028367444076,2.223109691160809,6.817296455005843,1
34,AD.AS,0.279118,0.278614,0.64465,0.59338,19.028788527397264,20.484447004608292,11.417273116438356,1.8648265976786464,1.6421948694351778,3.8694074969770247,1
