,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
0,PNL.L,0.0,0.0,13.06532,11.88316,95.31620046296436,62785.41525857656,1053.462855571879,105.61886911416872,0.116983156461275,0.009292035398230088,0
2,SPX.L,0.0,0.0,1.03789,1.23108,1741.4032152018035,6453.400309119012,2146.7095115681227,993.5395597858417,1.2743372160438518,0.006902654867256638,0
3,MTVW.L,0.636702,0.6383479999999999,3.64621,3.611,202.47498454586534,3644.5640175329854,730.9971129937481,108.43224628135752,0.3065256769154767,0.03789673140691616,0
4,GAW.L,0.639192,0.694533,0.72985,1.4463,1706.8344010689166,12172.48082652915,2478.864321292873,2542.291358264772,2.5963196842624567,0.007690163319843507,0
6,LSE.L,0.9020239999999999,0.913969,0.63842,0.4858,9059.594067372063,71568.11320754718,4376.244591866167,810.2771695594125,0.004237121036188607,0.005821278581427905,0
7,FERG.L,0.293007,0.295823,2.16762,2.05455,435.30038529407807,15252.34876033058,891.9933301111647,422.22242049874166,3.2572086801426874,0.013887379599901212,0
8,AZN.L,0.8457370000000001,0.780296,0.5757800000000001,0.59406,8160.720848851645,9440.981867633724,4847.952979515829,850.9767916973116,0.4288241085284253,0.02723490102130879,0
9,TYT.L,0.11942,0.171922,56.866240000000005,22.773329999999998,0.5517046254456601,16.70607228206816,12.47741406796422,0.9349068698702756,0.480800465164715,1.7308679235267934,1
11,CRDA.L,0.46143599999999996,0.455204,0.84,0.76947,2365.527294836016,5764.617888618469,1819.9256927457627,825.5429205945668,1.357642853596783,0.00807741522712732,0
12,NXT.L,0.287962,0.407292,-0.08929,2.65918,318.1486395065067,1519.9725557461406,847.9846889952153,2020.596909044844,2.179056709713644,0.009286175710594313,0
13,ITRK.L,0.0,0.0,0.58621,1.04492,1681.6829868165646,3034.3555693453304,1758.3113987774182,1013.338306911201,2.047142705118655,0.011889737628694786,0
15,JDG.L,0.0,0.0,0.56616,0.9113,1796.9990235711298,4433.134481830417,1629.9578978622326,1062.8993901061667,1.9051533204628632,0.04554263565891473,0
16,DCC.L,0.126094,0.109601,2.10957,0.38255,2577.684679286439,4928.073924717964,986.1055536093147,201.48936921445468,3.7851121604310713,0.028562721195438463,0
