,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
0,CSL.AX,ASX,0.562426,0.578667,1.86792,2.75041,12.389898954796639,253.9620653452915,33.80097915368547,20.823068507031895,1.1438640507998914,0.9897852719439958
1,COH.AX,ASX,0.742255,0.747784,-6.44118,2.72817,138.70711116322678,83.25754184887265,355.7959014947916,9.748528446236175,1.0666226656831153,0.7199748008819692
2,MQG.AX,ASX,1.0,1.0,3.74674,4.04802,1.8908753693840823,18.339222177812996,8.10225744386487,2.197607025437972,0.11415078850048084,3.15874531697642
3,REA.AX,ASX,0.924024,0.935522,-0.26733,1.121,66.94539133904,92.30032639989128,74.9897158908773,18.8637818063989,1.1463197954383557,0.8891762994099104
4,XRO.AX,ASX,0.851304,0.851942,0.01394,0.00935,-75553.87064871726,465.45023674558183,-703.6007527197883,39.65902350094468,1.101727676806901,
5,APT.AX,ASX,0.736081,0.748424,0.03444,-0.11411,3929.1412112352878,-167.8596703887562,-428.6087840232435,28.451044842863997,0.4869445691272631,
6,RIO.AX,ASX,0.0,0.0,2.036,2.37046,3.1652272529442236,23.542174375398147,7.540495319520016,3.9571067626198246,0.9835086183440003,8.48763303850997
7,DMP.AX,ASX,0.547995,0.558354,0.80222,0.806,38.94767568357041,95.7983549814875,31.224325163623497,20.192825130347025,1.3518935860677712,1.2967391304347826
8,ASX.AX,ASX,0.0,0.0,1.28257,1.293,12.378497121936446,58.764759506666664,16.01704529254997,4.264725585098376,0.12603073248041896,2.913769971947799
9,CBA.AX,ASX,1.0,1.0,1.82597,3.26324,2.2471131627253165,11.749631140273097,7.278898104916232,1.840244695033885,0.0477466816559178,4.277307305870533
10,BKL.AX,ASX,0.579078,0.590166,-0.00727,1.049,15.323718165698239,75.82667346938774,15.88289317296006,3.7240870043728194,2.099069381179473,
11,RHC.AX,ASX,0.75129,0.748552,0.1187,1.27907,13.99200889251765,27.473121786507882,16.753883528457227,3.7033694955363092,1.3141849081052346,1.386424134937888
12,MFG.AX,ASX,0.970515,0.974523,1.1002,1.08248,13.145268334182854,74.46264045097183,14.112017781548735,10.43176223579657,1.1659146540578873,4.743985967256933
13,JBH.AX,ASX,0.212529,0.215308,1.13242,1.4745,7.328046623857369,21.172989653942206,10.749481977902555,5.3674495794519315,4.762934999841385,5.291005291005291
14,MAQ.AX,ASX,0.687038,0.668039,0.31708,0.3096,116.96117921890254,75.44312481548532,36.09187430798441,8.871011033150213,1.5812923638651264,
15,WES.AX,ASX,0.3727,0.3755,0.43021,1.0689,6.9357744250023226,26.889984901862103,7.413681143332871,5.718150684931508,2.311347099311701,2.2699757868644066
16,ANN.AX,ASX,0.395862,0.387761,0.71894,0.49321,38.25120641933243,69.30145524736842,19.478219670118342,3.7850597188645345,1.2712162051784692,1.741658488714426
17,ALU.AX,ASX,0.960297,0.0,0.05956,0.1758,352.90374897108285,194.3780296401268,62.21795383770621,28.27625473897783,1.225185940782674,0.9796533534287867
18,WOW.AX,ASX,0.287382,0.295742,0.21937,0.702,18.209324756797297,24.28876466937965,12.745276252291665,5.598474125920842,3.2142597213557913,1.701560997151735
19,JHX.AX,ASX,0.350471,0.356358,0.02111,0.01422,6952.377518248175,144.92935483870966,98.38270072992701,15.056894433066468,0.6386148430915671,0.4041563446187724
20,BHP.AX,ASX,0.0,0.0,0.60931,0.96016,11.715913985318673,25.158850701127303,11.253565367113517,3.8177044392523363,0.8323773894620311,3.932570281362503
21,SHL.AX,ASX,0.827212,0.846097,0.57269,0.53332,29.980720480540352,46.72072599863231,15.97883049929743,3.0889015737511154,1.069132927576434,1.0638045070695867
22,APX.AX,ASX,0.405961,0.430996,0.18191,0.18667,255.91404661498487,136.3014617763729,48.00767970615845,8.619158477225204,1.5921523237347783,0.2649191299498048
23,FPH.AX,ASX,0.653724,0.670695,0.28668,0.20943,188.1121418949558,209.17812089935762,39.349922441087614,20.06288405422058,1.6265505226480836,0.5753843615065243
24,PME.AX,ASX,0.993042,0.994455,0.10552,0.1154,714.6346842182278,544.0004077416328,82.42313232150897,57.79603222006214,1.1222959903810967,0.3604686091919495
25,ARB.AX,ASX,0.2879,0.288154,0.40088,0.31708,71.27366377113252,122.05284935764216,22.581995653313758,6.94164289732204,1.8689300931721062,
26,NCM.AX,ASX,0.378049,0.306145,0.52312,0.306,68.8105765717799,53.811615818534484,20.669362367384107,2.8989422663183557,0.5787645370789911,1.1244493392070485
27,ALL.AX,ASX,0.521583,0.546748,2.0443,0.55304,15.897578250380349,29.330562774165333,8.784696304440855,5.729780697445245,1.0478534784251123,1.5414607607108854
