,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
0,4338.HK,HKSE,0.675571,0.686617,1.46374,1.40091,203.95825007934300,918.2713851498050,286.5489487590620,107.25481809575300,0.4746424790332910,0.12303980699638100
1,4336.HK,HKSE,0.444824,0.442002,0.91215,0.81798,160.44455087032300,506.76513317191300,131.38355304457,43.744173894868800,0.7684096169288180,0.1894273127753300
2,4335.HK,HKSE,0.532593,0.606012,1.19164,1.31285,51.24414791360400,149.58603305013500,67.71548117154810,19.536836971101100,0.5176053337179340,0.3489304812834220
3,9618.HK,HKSE,0.142427,0.154136,5.23,0.36,136.70500267680500,804.2820018920590,46.637674715821600,7.44503412745805,1.8519782239828400,
4,3690.HK,HKSE,0.346858,0.310165,0.37934,-0.27364,-1688.788577055460,608.1511357634000,457.57497440533700,16.483839273615000,0.7270885643472210,
5,2269.HK,HKSE,0.415346,0.41564,0.53274,0.42216,357.5784220483680,486.1978611653690,145.8947233380570,22.80209127968420,0.3574555298798360,
6,6185.HK,HKSE,0.0,0.0,-0.45902,-0.39426,312.789491644911,-612.8366338785150,-122.34684050241900,30.719912045203200,0.0006617495324786320,
7,6160.HK,HKSE,0.782022,0.728212,-0.33181,-0.3618,368.8458833248310,-698.742868817261,-132.80351499510500,73.01005053467690,0.05757373907652260,
8,4333.HK,HKSE,0.63222,0.648502,0.6214,0.65378,86.76919711931820,177.39057708391400,56.741573033707900,16.780063291139200,0.5197621582870340,0.7133333333333330
9,9999.HK,HKSE,0.538481,0.549609,1.38301,1.08461,18.4456425475248,116.5671637917770,19.962996361011800,5.2349364953233400,0.3978848646545360,
10,2313.HK,HKSE,0.308644,0.298827,1.67134,1.78229,12.174308908165500,88.39268849578500,21.698155087544000,8.18752674536187,1.2629736809612300,0.6949270326615710
11,2382.HK,HKSE,0.194885,0.219391,1.59615,2.33234,8.646691122179820,47.991089100571900,20.20176844314600,10.55511850901600,2.273498059170880,0.6230769230769230
12,2378.HK,HKSE,0.0,0.0,0.19723,0.30267,128.1429771775000,192.44785161872700,38.65021229968500,14.766363160648900,0.2155495341832820,0.19172033118675300
13,1579.HK,HKSE,0.396623,0.387288,0.40667,0.46215,160.099805155803,293.30619585432400,73.16086746137550,37.875973190383000,2.362941022993920,0.20871534195933500
14,1833.HK,HKSE,0.29913,0.243391,-0.21152,-0.46001,160.7228136390940,-293.76509923664100,-73.4337487322829,10.95476116699710,0.8051009587502230,
15,2688.HK,HKSE,0.177599,0.162663,2.39314,2.05119,5.297446620281920,15.993902231793300,10.865099026492200,3.8243293169306800,1.587862075412170,1.840220385674930
16,2020.HK,HKSE,0.568478,0.541757,0.60077,1.06067,25.83212376062640,82.77454632314940,26.783721654803400,11.525536073660000,1.2547876627965700,0.40494938132733400
17,1299.HK,HKSE,0.0,0.0,0.18196,0.23052,416.02102156935300,772.7757825370680,95.92533742331290,16.51555876346740,-0.00032623178253046000,1.2007722007722000
