,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
0,TRNFP.ME,MCX,0.824849,0.802695,2661.52952,9965.45772,0.0005315633860075633,10.126595836126334,5.29727244662931,0.34992503421078563,0.3069594814777256,
1,IDVP.ME,MCX,0.0,0.0,-33.42304,-40.76768,35.49168908418965,-30396.012057608576,-1446.9137560851173,140.66345960596658,0.005130044645074418,
2,ALNU.ME,MCX,0.773055,0.501277,1145.50125,6685.8075,0.0003821000866482449,10.950423216444982,2.5546476250634855,1.0043494898445804,0.8271052519644778,
3,KOGK.ME,MCX,0.30828,0.309967,869.58154,720.01044,,,,0.26382490827642346,0.0,
4,RTGZ.ME,MCX,0.059495,0.575492,-2398.59459,6083.50936,,,,0.1864021703833868,0.0,
5,PRMB.ME,MCX,1.0,1.0,3030.488,280.728,0.01862898448098135,-2.9038819642863674,5.229677555376933,1.666536755533755,0.23189315530076776,3.1496062992125986
6,GMKN.ME,MCX,0.61853,0.625124,-26.79381,1181.94213,0.005767563372731941,14.265489805308135,6.816926148826899,21.453622048876017,1.207318038556624,5.824505968502358
7,LNZL.ME,MCX,0.473008,0.350062,1525.03727,1432.95624,0.0031563324607168353,5.32984258812168,4.522886293792256,1.192535004321521,1.0828894677500875,
8,PLZL.ME,MCX,0.711637,0.672367,367.59561,-217.74387,-0.12608865697314675,58.020503869789934,27.242905973825277,13.94228649810929,0.5519659243546293,2.8871755179804715
9,VSMO.ME,MCX,0.318199,0.338713,2.67716,600.70532,0.011947034496789003,11.8863572307167,7.176647215054771,0.9640363189885408,0.5868773387489439,
10,URKZ.ME,MCX,0.11765,0.278446,763.87469,2018.58296,,,,0.2672258535581898,0.0,
11,NPOF.ME,MCX,0.260385,0.2483,170.64037,7.34545,,,,,0.29329630343586294,
12,KRKN.ME,MCX,0.469707,0.435061,1301.13902,1270.34799,,,,0.2718078763066539,0.0,
13,TRCN.ME,MCX,0.341988,0.340373,290.03698,137.74957,0.07456579024212992,24.502592141977843,10.271405702244776,2.159556501690747,1.0032022059641086,0.61977894124491
14,PAZA.ME,MCX,0.210842,0.211025,-3.13732,11.16908,,,,9.644121326723802,0.0,
15,UNKL.ME,MCX,0.564584,0.372519,-161.14167,525.14333,,,,0.45847353225591253,0.0,
16,RKKE.ME,MCX,0.285193,0.235998,-3530.27866,696.39579,0.012505842750671061,8.958649773997468,6.364633850218104,-1.344673310681586,1.0217703460218774,
17,AKRN.ME,MCX,0.493457,0.374123,239.08793,-271.41993,-0.13693222561269494,49.92887325174826,37.47326947679186,5.8637338055641095,0.5092126610319835,8.737704918032787
18,CHKZ.ME,MCX,0.183281,0.197539,148.59551,101.70771,,,,1.6051670739205879,0.0,2.413127413127413
19,MGNT.ME,MCX,0.227812,0.215342,140.9808,57.113,0.2519656463231826,9.226399016471253,14.371067421614113,2.538481223878897,2.9626073744556334,6.249409347714432
20,MGNZ.ME,MCX,0.017941,0.063272,-590.00251,-552.56838,0.011773469195664361,6.0855707111357304,-6.51201364941823,0.8347304871414275,2.9320480500243744,
21,YNDX.ME,MCX,0.615717,0.654597,-10.09329,17.36123,9.943301179301029,98.59065357504767,177.6543326906369,5.216541957379955,0.41612530514806706,
22,LKOH.ME,MCX,0.599595,0.416756,-28.6897,-68.49928,-0.15936063138582804,8.650838683194882,11.224867192888658,0.6954685622428296,1.0857456393900793,12.858837485172007
23,VSYD.ME,MCX,-0.204782,0.275983,-1220.89724,156.23238,-0.013429623120763855,-4.501103563011229,-2.1535758467782204,-1.092027401765493,1.0131129713371334,
24,FIVE.ME,MCX,0.251931,0.245893,276.5408,-11.85724,-0.4433506055657794,4.669623949968759,5.257372199207961,1.9173939790575918,2.844155938898915,0.05354247266610597
25,PHOR.ME,MCX,0.470119,0.423772,161.16602,-120.36293,-0.1375498718827245,25.234358542237203,16.5559062010504,3.162372290715172,0.7813324367661512,5.189189189189189
26,ZILL.ME,MCX,-0.220685,-0.266584,-26.89439,-48.63156,,,,-17.039121562863617,0.0,
27,CHMK.ME,MCX,0.159079,0.176108,1402.51173,-1472.39442,,,,0.14151916199262976,0.0,
28,MGTS.ME,MCX,0.78239,0.734429,80.99462,95.03318,0.061806585610695075,12.382837269372693,5.873676573548974,2.147596828281794,0.6742891834463219,
29,NNSB.ME,MCX,0.999214,0.998725,-24.68614,-226.09033,0.06962307517335593,-9.089418829958873,-15.741103983465598,-2.7837924229608375,3.7545156370503228,
30,DZRD.ME,MCX,0.148588,0.213345,74.08928,121.10014,,,,0.25973138837155074,0.0,
31,GCHE.ME,MCX,0.238341,0.255901,201.84174,73.20874,0.0748414996524296,14.262815000938616,5.479052102834067,1.1477041617824773,1.199752464019803,3.29119394921664
