,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
0,MRF.NS,NSE,0.402544,0.427952,31.73002,1601.02802,0.0139126168628557,31.62101777970448,22.269816178575113,2.1199399297895734,0.7318686948175991,0.16382042332835592
1,HONAUT.NS,NSE,0.509759,0.540028,110.93002,125.70649,0.35539454232019696,138.45185998186406,44.673480772694894,12.0912187877195,1.1645013130950865,0.25177628166716187
2,SHREECEM.NS,NSE,0.74828,0.736673,91.34999,148.56126,0.3457433449077045,139.84259644356067,51.3550565342783,5.793896614925627,0.6039735962675772,0.18914765338692519
3,PAGEIND.NS,NSE,0.481037,0.588364,-35.46141,27.81586,4.202107893892794,93.22357508050065,116.88399378657036,27.51474638330778,1.5831863238553254,0.5438813349814586
4,3MINDIA.NS,NSE,0.374268,0.396414,-37.73999,53.36059,1.4308309019379997,131.9253318277311,76.34781302241323,12.194373527555715,1.4054112077646714,
5,NESTLEIND.NS,NSE,0.563383,0.562953,50.47,54.5,1.3634500625323749,148.5576434980296,74.30453265996981,67.82519332424225,1.5707492738543172,1.4846374334486319
6,ABBOTINDIA.NS,NSE,0.4268,0.421973,84.87059,52.22,0.9848605242427423,85.35868039751176,51.43057523539628,13.881581780011105,1.1724548941840935,0.900211833064214
7,BOSCHLTD.NS,NSE,0.423251,0.460945,-41.2,27.41271,5.089120986277519,58.38765040256238,139.6200839230862,3.740057902620752,0.606830287049349,
8,TASTYBITE.NS,NSE,0.398956,0.333881,5.52,33.25059,2.3130111166164906,148.9912840672269,76.88622204683435,16.302114900268485,1.2970910522662966,0.019304646628443466
9,PGHH.NS,NSE,0.632484,0.666291,21.32,28.07,2.711858304301509,90.90586749558693,76.10333268495428,28.465299189193857,1.6418672063005906,0.4727713264190527
10,DIXON.NS,NSE,0.11982,0.157708,1.38289,23.51,4.613350110036811,85.97303245516585,109.97078308972797,20.014171604328208,2.221364347848733,0.042716103437044475
11,BHARATRAS.NS,NSE,0.358124,0.318215,109.92011,85.25001,0.27289814351834746,-86.37388518493151,23.26533528749769,6.706347744012031,1.5192894377251196,
12,SANOFI.NS,NSE,0.554539,0.566348,59.18,37.08001,1.1627547307882167,147.89759544880678,43.11467156373429,7.20815579814655,0.8896923783287419,2.9131101946868703
13,MARUTI.NS,NSE,0.285652,0.343514,-8.88,43.72196,1.1625418344157097,50.931462272460124,51.14110873985816,4.17383812612268,0.9435827477655172,0.8743997609973986
14,BAJAJFINSV.NS,NSE,0.0,0.0,76.4,11.97078,2.0545593512315175,-6.805235536067569,25.115708111322995,3.0000758974721453,0.10934382945880566,0.08468619530330361
15,ATUL.NS,NSE,0.376771,0.345314,39.70999,47.61194,0.5778716011661608,112.86380513972956,27.519977607825282,5.555722507274399,0.8946121894335113,0.465348461388769
