,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
0,AFK.OL,Osaka Exchange,0.643489,0.59408,4.27943,-7.86614,104.15476174220129,181.74800000000002,-802.3013537374926,2.809570594297492,0.6444066020025031,2.0
1,BOUVET.OL,Osaka Exchange,0.871299,0.869045,6.32582,6.2362,4.959755093486109,604.6043478260871,30.98406630212218,17.657879332658265,1.857038791783779,1.3095238095238095
2,BAKKA.OL,Osaka Exchange,0.623061,0.624018,7.97903,-2.50278,-19.665068837095596,46.28032262577181,49.2269830955498,4.202119308786531,0.3987962766952542,
3,SALM.OL,Osaka Exchange,0.585326,0.558639,10.44,3.57,6.400110945905651,94.38876925558732,22.86863175362628,5.212821361792956,0.670418512152949,
4,GYL.OL,Osaka Exchange,0.531611,0.558549,-33.68006,52.6337,0.22425707024759278,3.2259298619102417,11.799284677062944,1.4992949925592354,2.4457419762489945,1.440329218106996
5,SCHA.OL,Osaka Exchange,0.978471,0.980697,2.00573,-0.91,-169.77691585815833,119.8789597804878,155.04849687697163,9.199021806101442,0.5159379711393496,
6,TOM.OL,Osaka Exchange,0.428984,0.422763,1.37,-0.2,-520.25274667531,122.61029561843908,83.4024084756287,9.435205033014892,0.7949734130940512,
7,AKER.OL,Osaka Exchange,0.079051,0.960168,-38.16958,-18.11598,0.3529703718534487,12.368578723404255,-6.389571334359199,1.5566709511568124,0.8442161785727376,3.0035787321063396
8,SOFF.OL,Osaka Exchange,0.0,0.0,-2.7604,-7.74021,0.040344770157904365,3.6812078915641284,-0.31227707988895775,-0.23643442090914993,0.18792149132932123,
9,YAR.OL,Osaka Exchange,0.319008,0.299435,0.82601,-0.43254,-556.28592072134,322.0416655087719,242.16853474934035,11.571088586737268,0.7545392576067422,4.392386530014641
10,MORG.OL,Osaka Exchange,1.0,1.0,14.43549,11.00807,0.4259334434856015,12.890175696202531,4.795873846153846,0.43994407258064516,0.020248895235047207,9.523809523809524
11,TIETOO.OL,Osaka Exchange,0.734994,0.762833,-0.11736,0.30567,1924.6236564453618,475.8178567241379,588.2224303374778,21.407189934065936,0.6615497076023392,1.13555078683834
12,SSO.OL,Osaka Exchange,0.0,0.0,-0.7591,1.82,102.22005089910776,84.08437317784256,186.0705806451613,5.70881631037213,0.10077359888075056,0.4252461951656222
13,SOAG.OL,Osaka Exchange,1.0,1.0,8.63256,5.24564,1.601191299388966,-5.317028431948652,8.401044161409356,0.795659793895789,0.0336819699049284,5.263157894736842
14,MEDI.OL,Osaka Exchange,0.807328,0.776201,1.11136,1.16254,47.54548687655076,175.85284920083393,55.02481585170287,14.151623185974332,0.9959323985271915,
15,RING.OL,Osaka Exchange,1.0,1.0,5.73185,5.05445,2.255219495631733,-18.35275063926894,11.365996100897172,0.9631048650093558,0.03016621566519628,12.565217391304348
16,NRS.OL,Osaka Exchange,0.184533,0.147482,2.25002,0.88085,9.023662046880386,629.7846153846162,8.054134680870742,3.074674044924345,1.0755310166073702,1.1194673076923078
17,BON.OL,Osaka Exchange,0.0,0.0,-13.54043,2.31121,-5.863621950721524,29.551745378989366,-13.552043837128465,1.462923984990866,0.3637696728689992,2.0574162679425836
18,AURG.OL,Osaka Exchange,1.0,1.0,13.84148,3.42576,1.7205085621316611,-4.13320406149537,5.894044446058317,0.4867928613790048,0.022643422644085944,5.445544554455446
19,GJF.OL,Osaka Exchange,0.0,0.0,3.9,-0.9602,-25.86189000554971,263.02223201402006,24.764538332698702,3.4741542387162485,0.21654966455656272,
20,MOWI.OL,Osaka Exchange,0.502853,0.517748,0.1,-0.14981,-4965.478640353964,459.78328008519713,736.7517064846417,32.50171265103324,0.6960940543220369,3.1496062992125986
21,ADE.OL,Osaka Exchange,0.0,0.0,-0.00467,-0.0527,134432.31915495094,2973.087085831063,-7085.21402922078,78.99246800115834,0.2932386836685509,
22,AFG.OL,Osaka Exchange,0.288825,0.314515,1.57182,1.22253,17.604904011320407,88.45492712087912,21.52245552941176,7.512270992067195,1.9496607227394667,6.081946222791293
23,JAEREN.OL,Osaka Exchange,1.0,1.0,11.09042,2.81956,1.8816114353675961,10.110498491390523,5.598401673579906,0.409657063062351,0.02474557933347802,4.838709677419355
24,VVL.OL,Osaka Exchange,1.0,1.0,4.21999,3.01999,2.6974807904099585,18.59078211059705,8.141202122527737,0.580314696375765,0.020149981253662838,4.605263157894736
25,AKERBP.OL,Osaka Exchange,0.66738,0.821073,0.47186,-0.92986,597.9418988985209,141.029330331932,-556.5738717266142,28.211117555504885,0.26814791399884125,1.0028
