,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
0,PNL.L,LSE,0.0,0.0,13.06532,11.88316,95.31620046296436,62785.415258576555,1053.462855571879,105.61886911416872,0.116983156461275,0.009292035398230087
1,FLTR.L,LSE,0.675867,0.688242,0.17876,0.84747,7280.744203552227,6703.147967061247,4720.629394708228,114.79834380756789,0.2678993346567733,
2,SPX.L,LSE,0.0,0.0,1.03789,1.23108,1741.4032152018035,6453.400309119011,2146.709511568123,993.5395597858418,1.2743372160438518,0.006902654867256638
3,MTVW.L,LSE,0.636702,0.638348,3.64621,3.611,202.4749845458653,3644.564017532985,730.9971129937481,108.43224628135752,0.3065256769154767,0.037896731406916156
4,GAW.L,LSE,0.639192,0.694533,0.72985,1.4463,1706.8344010689168,12172.48082652915,2478.8643212928723,2542.2913582647716,2.5963196842624567,0.007690163319843507
5,JET.L,LSE,0.622222,0.724111,-0.44694,-1.26715,12119.566499519313,292350.4097299836,-7165.047129597127,144.41201519832984,0.11697540983606558,
6,LSE.L,LSE,0.902024,0.913969,0.63842,0.4858,9059.594067372065,71568.11320754718,4376.244591866167,810.2771695594125,0.004237121036188607,0.005821278581427905
7,FERG.L,LSE,0.293007,0.295823,2.16762,2.05455,435.30038529407807,15252.34876033058,891.9933301111648,422.2224204987417,3.2572086801426874,0.013887379599901212
8,AZN.L,LSE,0.845737,0.780296,0.57578,0.59406,8160.720848851645,9440.981867633725,4847.952979515829,850.9767916973115,0.4288241085284253,0.02723490102130879
9,TYT.L,LSE,0.11942,0.171922,56.86624,22.77333,0.5517046254456601,16.70607228206816,12.477414067964219,0.9349068698702757,0.48080046516471503,1.7308679235267934
10,CAM.L,LSE,0.140122,0.278416,-4.56191,2.49819,365.85081928104574,847.4945909090909,913.9647549019608,48.37799948105864,0.9623937213865271,
11,CRDA.L,LSE,0.461436,0.455204,0.84,0.76947,2365.527294836016,5764.617888618469,1819.9256927457627,825.5429205945669,1.357642853596783,0.00807741522712732
12,NXT.L,LSE,0.287962,0.407292,-0.08929,2.65918,318.1486395065067,1519.9725557461409,847.9846889952154,2020.596909044844,2.179056709713644,0.009286175710594313
13,ITRK.L,LSE,0.0,0.0,0.58621,1.04492,1681.6829868165646,3034.3555693453304,1758.3113987774182,1013.338306911201,2.047142705118655,0.011889737628694786
14,RSW.L,LSE,0.493177,0.442887,-0.09765,0.10161,44437.44335542003,7787.4671165461195,4515.24952442715,763.0975502382905,1.4145268423407966,
