,Symbol,Exchange,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM
0,BRH.DE,XETRA,0.228026,0.2166,16314.46369,-30652.72446,-0.0006365511959530956,44.35285946385053,19.646768621806405,1.110019085375926,0.3152323275386261,
1,AMZ.DE,XETRA,0.407729,0.413442,10.30059,5.00988,20.99474751057277,174.62208565636087,104.56126707132017,18.691914876302086,1.2456970973311552,
2,NSU.DE,XETRA,0.042977,0.144099,2.02326,44.2093,0.3128166242592003,9.873074729035938,13.829404714342788,2.44145859782762,1.6424395240721772,
3,1N8.DE,XETRA,0.179441,0.182191,2.55378,3.66828,37.182815409419405,170.99415341918373,135.1548219241443,50.54658529108306,1.6135750533104911,
4,PCE1.DE,XETRA,0.0,0.0,2.97597,-17.0102,-1.3231087284395497,31.006482982171796,22.56014150943396,14.351837959489874,0.5402161438408569,
5,ABEA.DE,XETRA,0.51555,0.538813,9.48895,9.25421,3.3807660445466916,64.25245991206518,31.51292398680789,4.793164955962223,0.5961751145454807,
6,C9F.DE,XETRA,0.192226,0.243967,0.28853,2.69703,46.960369873221836,137.96342440987854,126.60885659392474,18.982905210689847,1.0464238382355433,
7,MLB1.DE,XETRA,0.486324,0.479709,1.12547,-0.42464,823.6244262295337,279.3380658604489,-349.74649981239634,30.30415476652411,0.5149271851782298,
8,HMI.DE,XETRA,0.65004,0.695543,3.20177,7.35627,4.4651574505861875,80.41865426969494,33.02679229130078,13.347510273970443,1.2825910515230903,0.5625618199802176
9,RAA.DE,XETRA,0.526432,0.559807,0.10185,1.47177,48.837340782598254,122.89797000454476,71.8772260911169,17.2068836060984,1.2067896969332395,0.7988787666433076
10,PPX.DE,XETRA,0.725787,0.742611,2.18057,13.81004,1.358608313536722,36.65275420755278,18.78916910726081,7.393500758764784,1.047283365737661,1.352265043948614
11,HYQ.DE,XETRA,0.571544,0.620685,1.27221,0.87522,150.22954907410653,537.4446881855217,130.83506255721696,17.078557024423034,0.7781568931399845,
12,BLQA.DE,XETRA,0.814967,0.805391,7.84684,5.1529,3.643906763775497,90.53395697529537,18.98358422162162,2.5752249906507787,0.09550533233338841,1.9383259911894273
13,CQD.DE,XETRA,0.519323,0.517379,3.63193,1.86081,25.597595622170225,36.95708940366973,48.06218034246576,3.7050250073238864,0.32138821519126887,
14,NVD.DE,XETRA,0.588464,0.650649,0.99361,1.47428,58.52832787326242,177.1694512195122,85.73558571850103,20.882413396578983,0.5188641779189833,0.1034148443391145
15,NFC.DE,XETRA,0.440054,0.413682,1.58653,1.56702,45.31867721301059,-378.27694581840353,70.78826398660141,20.334453600432706,0.6086925341599974,
16,MOH.DE,XETRA,0.619312,0.661536,1.03498,7.75753,2.5398774043145993,40.7299964617189,19.654998745313776,6.060991068233224,0.9372461237131307,1.1153712094806556
17,ADB.DE,XETRA,0.867597,0.867327,1.96907,2.26804,23.273062932847427,148.10058711173141,52.784266445633335,17.403355246307523,0.5548293477290979,
18,TL0.DE,XETRA,0.209907,0.206182,0.10048,0.01608,64986.67968749999,489.0238095238095,1004.6249999999999,37.51415525114155,0.6741313753769503,
19,LO24.DE,XETRA,0.0,0.0,0.06462,0.0763,21564.76517116518,7014.048814432989,1645.3754171704957,218.95389455052566,0.5829752918313658,
20,ASME.DE,XETRA,0.434999,0.384636,4.20294,1.92083,14.065632955028601,163.7224019433582,27.05622821446755,9.956498569565248,0.9471148445398605,0.7318188748284801
21,SRT.DE,XETRA,0.520388,0.518925,0.51617,0.67555,216.16666518685508,255.0201631578947,146.03230950258742,26.792118317647056,0.5166128194473302,0.31531531531531526
22,CTO.DE,XETRA,0.13199,0.134627,3.12597,1.888,18.8863479951108,67.81394557564225,35.6184191904048,7.796155852111135,3.001673986608107,0.841645885286783
23,1YD.DE,XETRA,0.572238,0.5566,1.63033,1.35012,40.523174209849,54.150141185962084,54.062907772855425,5.698442076665111,0.2925294458876643,3.0650738761395786
24,LOM.DE,XETRA,0.136436,0.133602,5.7906,6.07573,2.2448463979688125,35.551084337349394,13.7265002325942,23.59962676619568,1.2684716650202608,2.283901665344964
25,LAR.DE,XETRA,0.458594,0.466127,4.7259,3.87933,5.15555226271138,97.54202225205637,20.101708668757187,8.75092031039572,0.6899308725358191,1.5469793193290995
26,AKX.DE,XETRA,0.860344,0.835677,1.11077,0.52724,122.07738445025181,213.85382659843145,64.68553888370947,7.48714311143998,0.32551725584595104,
27,CIT.DE,XETRA,0.473041,0.437038,2.80041,1.36134,19.94460850409674,107.51101884870097,26.917932777910995,8.78178661031224,1.0980077905050127,
28,LOR.DE,XETRA,0.731404,0.729374,3.24731,2.53086,8.81835189611763,54.64754798872054,22.363516545012168,5.549637823542807,1.2321621739509727,1.3433356594556873
29,YSN.DE,XETRA,0.255061,0.259591,1.71296,2.21873,18.271611652473617,243.8957750667891,40.53981885843651,21.151640348053917,1.8950005257640745,0.5397923875432526
30,ITU.DE,XETRA,0.822687,0.858095,1.68561,4.10606,9.999911083448183,-590.3622047244095,41.06024096385542,14.683901292596946,0.7024974842191931,0.5598591549295775
31,ADS.DE,XETRA,0.510198,0.493373,-1.51,0.15856,624.5866366421104,92.20926777589133,99.10813635036496,8.71629894398973,1.0137431653613123,
32,M4I.DE,XETRA,0.0,0.0,1.40873,1.67624,23.03562601754188,120.2751592356688,38.68979647589127,43.77867078825348,0.505026924393812,0.4270462633451958
33,UNH.DE,XETRA,0.0,0.0,6.91354,3.51559,4.382049449657414,83.7942857142857,15.437595040355598,4.148623161071293,1.279105167729098,1.2402254955446446
34,ILU.DE,XETRA,0.676145,0.720605,0.31757,1.16892,50.27054692257004,152.51760299625468,58.76219336219336,8.924435678281831,0.46233443708609273,
35,NTH.DE,XETRA,0.205538,0.199768,6.00717,5.15439,3.53667138694874,38.61560140474099,18.349257405089695,4.528744851729818,0.7981598619896493,2.107265119817421
36,AHLA.DE,XETRA,0.45026,0.365764,2.17053,0.14489,228.14350823642866,122.07879389764611,32.90111160465143,7.075735772293004,0.4006333731869583,
37,KSB.DE,XETRA,0.602247,0.579529,-18.4574,17.02021,0.9874044614096488,5.710883725822781,16.805828819068257,0.7953928619173456,2.1412754851120543,3.4274193548387095
38,FDX.DE,XETRA,0.713162,0.707973,4.73384,-1.27969,-28.3911957440103,42.67432074221338,36.05573908174692,3.3087837837837837,0.9206933855347208,0.7964059628343885
39,HDI.DE,XETRA,0.340078,0.340587,4.02228,2.08449,10.593810677806227,120.52261190586064,22.082734421239536,-630.8514492753623,1.8835025020126601,2.416494845360825
40,NWO.DE,XETRA,1.106909,1.095347,2.15,1.28,29.90740334667442,73.49744342775737,38.36632554414667,12.626384532841355,0.8954744610265883,1.0836820083682008
41,IDP.DE,XETRA,0.888337,0.87146,9.58421,8.08261,0.6840462036290001,20.79956929612367,5.948098467975973,3.1173512428484265,0.5678666342633605,
42,FB2A.DE,XETRA,0.795098,0.804984,1.79854,1.70921,17.016528418742038,73.22008165896636,28.97360969387755,6.170011860892554,0.5380303670243609,
43,AUD.DE,XETRA,0.911401,0.907531,0.44194,0.3005,438.2736948097115,172.35774240231547,131.16651982378855,707.8704309063893,0.6160805943660501,
44,FOO.DE,XETRA,0.745486,0.74224,2.84707,0.10843,786.6613554215583,670.925167785235,84.46797634136037,5.201240894901145,0.3354101765316719,
45,MUV2.DE,XETRA,0.0,0.0,5.70214,1.56293,4.7953092332439695,-322.1630116373626,7.54421874909933,0.9882634100455081,0.3266702450757241,4.695735505510303
46,RWL.DE,XETRA,0.397561,0.415631,2.73024,1.13379,27.668388718257113,50.86067368421053,31.42406347554631,31.35473069435432,0.8854628555836005,1.4743435316791134
47,DCO.DE,XETRA,0.303754,0.26313,2.56808,2.10626,11.196343813426687,21.312300531914893,23.61230202578269,4.974193047796399,0.4624275212259267,1.123152709359606
48,LIN.DE,XETRA,0.432492,0.429737,0.8657,1.07112,42.54074254483741,56.132374638844304,46.07439973649539,2.3038717570327427,0.3167629519194931,1.8981341401916287
49,AMG.DE,XETRA,0.760232,0.754423,3.04561,3.07239,5.079891906378619,33.847604382588095,15.660139745170573,10.723647621728118,0.3737982802910277,3.2370002071680135
50,MDO.DE,XETRA,0.458673,0.496755,0.64627,1.47449,20.432476825190445,63.03207416801503,30.212007210530725,-15.231313628726314,0.3855811802022071,2.596862989508674
51,DAP.DE,XETRA,0.538491,0.562455,1.29114,0.84066,48.41672768294509,143.98214167357082,40.11806550281345,3.834049589511799,0.24576249782512305,0.4545924165719599
52,SYP.DE,XETRA,0.799812,0.786068,1.62151,0.71201,67.28424984357277,134.50749336720165,47.41772449594173,6.475224987352927,0.45815065409584704,
53,SYK.DE,XETRA,0.572721,0.652453,-0.22104,1.29839,32.934291942282535,110.05910969793324,43.23996252342287,5.4278798808217035,0.4469078550328749,1.2475591234541112
54,NFS.DE,XETRA,0.461391,0.505524,1.52707,1.47275,15.100334683236161,44.953205741626796,22.41226145038168,3.161032232016688,0.2697697697697698,1.540983606557377
55,VX1.DE,XETRA,0.878962,0.892749,3.17867,2.28736,9.810330447736403,139.52635247872547,22.44927395802045,6.212313424677647,0.5288264409452009,
56,MSF.DE,XETRA,0.675571,0.686617,1.46374,1.40091,22.356678148021604,100.65539296569692,31.40977439533886,11.756628854476604,0.4746424790332912,1.1224826675470452
57,GOS.DE,XETRA,0.80273,0.637767,1.04864,3.35918,3.396324483246858,7.708006679861455,11.582068029739776,0.6921272701018562,0.04793595924041828,2.8542071012672676
58,UNP.DE,XETRA,0.837889,0.817365,1.66667,2.14806,9.72086138707157,49.652852791878175,21.09621567217829,7.134654996353026,0.3178506805129415,1.683832889711839
59,KLA.DE,XETRA,0.574166,0.585544,2.63182,0.49915,44.75868332864791,55.0992448488146,22.471286841964684,10.25830215380367,0.6256949383402515,1.485884101040119
60,PFV.DE,XETRA,0.332353,0.347438,0.47387,0.89738,49.76603741385258,138.1519874909791,44.65884123486871,4.399783025950876,0.9489485056911559,0.715922107674685
61,VRS.DE,XETRA,0.861282,0.854178,1.31966,2.8623,8.727658204407991,95.65792263080259,25.23757398587534,-14.21687495179687,0.6844872278073056,
62,2PP.DE,XETRA,0.485649,0.409052,1.29223,0.07089,1142.6923850082042,191.0604379562044,81.0693921796361,11.870875283446713,0.3042459551024285,
63,BC8.DE,XETRA,0.149881,0.149737,0.97143,0.86829,45.09450770985433,130.00581908283746,39.15491683721351,6.6264501160092815,2.2625550793931497,0.7277137659187386
64,WHR.DE,XETRA,0.156111,0.16185,0.55821,2.40126,5.288872959183673,41.8836,12.821510204081633,3.538872763419483,1.0087813236239023,2.113420218386756
65,3V64.DE,XETRA,0.769899,0.808165,1.07182,1.3842,22.801544324011896,92.36137555665513,31.761500765696788,10.509083436549938,0.29379590159724717,0.7116593523899893
66,ALV.DE,XETRA,0.0,0.0,6.94,3.34167,2.055051306296859,10.223597969885432,6.816746225753968,0.9525584245595063,0.12223524400131133,5.892462558310828
67,2FE.DE,XETRA,0.475765,0.516398,0.04841,0.89452,64.96142206511745,107.13081268857188,58.370623273311516,22.22284676324466,0.5710808526500408,0.7007751937984495
68,MTX.DE,XETRA,0.146671,0.200344,2.25,4.39269,2.487883895454747,20.846665383004925,11.659658555586168,3.4848874482233296,1.0080381716696247,2.200191877198593
69,ZO1.DE,XETRA,0.316391,0.295217,1.16876,-0.07,-5527.329466500521,315.9786559172067,410.8768765592894,10.403195436328403,3.9516995138055138,
70,SAE.DE,XETRA,0.234545,0.215147,-0.01109,-0.37951,336.97878814199584,-447.43315779208103,-114.34502043664641,7.663901992489744,1.5184977187553912,
71,0Q3.DE,XETRA,0.296908,0.388271,-0.16433,0.02753,-66692.01838081167,2295.8227655326536,-1949.246948513599,23.711313576979304,0.7738844034642666,
72,VWS.DE,XETRA,0.064389,0.071141,-0.04,-0.38,-118.75493096646942,73.51495726495726,50.894970414201175,8.286368015414258,0.9422793625284586,5.378094269243812
73,SWF.DE,XETRA,0.33542,0.329808,1.54651,0.87688,33.169131095542866,119.16336190970421,28.660484073889165,2.3056157276971736,0.5927542159029603,1.3963480128893662
74,UPAB.DE,XETRA,0.793978,0.795287,2.03452,1.11047,26.203007989241925,85.70702557200539,29.097701622115604,29.191070364428143,1.2469181558889408,2.722434497816594
75,ALD.DE,XETRA,0.294369,0.346095,1.52662,2.20502,7.854860401129695,69.72209653297078,17.53782558139535,5.651689204827244,0.5427646059996226,2.4855012427506216
76,CGN.DE,XETRA,0.0,0.0,4.73163,3.15237,3.249916552573097,22.14240511986997,10.35387782633479,1.1504551577080606,0.9596624652316637,0.027210884353741496
77,HRS.DE,XETRA,0.285714,0.287073,1.29936,0.98951,23.976874167753092,389.8888888888889,23.888804841149774,1.4288752149126775,0.48436013949064777,1.7586206896551722
78,MMM.DE,XETRA,0.477425,0.49226,2.22107,2.22184,7.372977911356451,41.644106824925814,16.401321386832876,7.755768996960486,0.695512322811065,4.035039315767692
79,MTLA.DE,XETRA,0.473424,0.475529,0.77765,1.11995,26.082821765918712,47.38025855513308,29.59859382422803,-30.02652530120482,0.736745710429921,1.783226525494567
